"airport_id","latitude","longitude"
"KPVG",36.7807648,-76.4512804
"KCPK",36.6656111,-76.3206667
"KORF",36.8946042,-76.2012292
"KSFQ",36.6828884,-76.5996232
"KNFE",36.6920364,-76.134564
"KPHF",37.1318889,-76.4929722
"KMFV",37.6468789,-75.7610453
"KJGG",37.2391747,-76.7160961
"KFYJ",37.5213611,-76.76275
"KFKN",36.7002964,-76.9021356
"KFAF",37.1326091,-76.6089357
"KAKQ",36.9872222,-77.0011389
"KMQI",35.9189827,-75.6955357
"KPMZ",35.8107803,-76.75837
"KEDE",36.0277345,-76.5670922
"KECG",36.2605833,-76.1745556
"KONX",36.3999444,-76.0154444
"KMCZ",35.8621928,-77.1782006
"KASJ",36.2975278,-77.1708611
"KRIC",37.5051811,-77.3197386
"KNTU",36.8227419,-76.0318966
"KLFI",37.0828861,-76.3605389
"KFFA",36.0175833,-75.6715833
"KNGU",36.9374677,-76.2892779
